latitude,longitude
43.46664,-80.52401
43.46597,-80.52255
43.4644,-80.52524
43.46085,-80.52219
43.46546,-80.5135
43.46325,-80.51105
43.46899,-80.50582
43.46547,-80.51011
43.4706,-80.50301
43.46856,-80.5109
43.46952,-80.51187
43.47058,-80.52043
